c2,s,BandGap1
13.05,0.01,0.12806
13.2,0.01,0.12894
13.35,0.01,0.12982
13.5,0.01,0.13069
13.65,0.01,0.13156
13.8,0.01,0.13242
13.95,0.01,0.13327
14.1,0.01,0.13412
14.25,0.01,0.13496
14.4,0.01,0.1358
14.55,0.01,0.13664
14.7,0.01,0.13747
14.85,0.01,0.13829
15,0.01,0.13911
0.15,0.02,0.043745
0.3,0.02,0.042559
0.45,0.02,0.035169
0.6,0.02,0.025878
0.75,0.02,0.016091
0.9,0.02,0.006351
1.05,0.02,0.0031202
1.2,0.02,0.012238
1.35,0.02,0.020977
1.5,0.02,0.029344
1.65,0.02,0.037354
1.8,0.02,0.045031
1.95,0.02,0.052397
2.1,0.02,0.059476
2.25,0.02,0.06629
2.4,0.02,0.072859
2.55,0.02,0.079202
2.7,0.02,0.085334
2.85,0.02,0.091273
3,0.02,0.09703
3.15,0.02,0.10262
3.3,0.02,0.10805
3.45,0.02,0.11334
3.6,0.02,0.11849
3.75,0.02,0.12351
3.9,0.02,0.1284
4.05,0.02,0.13319
4.2,0.02,0.13787
4.35,0.02,0.14244
4.5,0.02,0.14692
4.65,0.02,0.15131
4.8,0.02,0.15561
4.95,0.02,0.15983
5.1,0.02,0.16397
5.25,0.02,0.16803
5.4,0.02,0.17203
5.55,0.02,0.17595
5.7,0.02,0.17982
5.85,0.02,0.18362
6,0.02,0.18736
6.15,0.02,0.19104
6.3,0.02,0.19467
6.45,0.02,0.19824
6.6,0.02,0.20176
6.75,0.02,0.20524
6.9,0.02,0.20867
7.05,0.02,0.21205
7.2,0.02,0.21539
7.35,0.02,0.21869
7.5,0.02,0.22194
7.65,0.02,0.22516
7.8,0.02,0.22834
7.95,0.02,0.23148
8.1,0.02,0.23458
8.25,0.02,0.23766
8.4,0.02,0.24069
8.55,0.02,0.2437
8.7,0.02,0.24667
8.85,0.02,0.24961
9,0.02,0.25252
9.15,0.02,0.25541
9.3,0.02,0.25826
9.45,0.02,0.26109
9.6,0.02,0.26389
9.75,0.02,0.26666
9.9,0.02,0.26941
10.05,0.02,0.27214
10.2,0.02,0.27484
10.35,0.02,0.27751
10.5,0.02,0.28017
10.65,0.02,0.2828
10.8,0.02,0.28541
10.95,0.02,0.28799
11.1,0.02,0.29056
11.25,0.02,0.29311
11.4,0.02,0.29563
11.55,0.02,0.29814
11.7,0.02,0.30063
11.85,0.02,0.3031
12,0.02,0.30555
12.15,0.02,0.30798
12.3,0.02,0.3104
12.45,0.02,0.31279
12.6,0.02,0.31517
12.75,0.02,0.31754
12.9,0.02,0.31989
13.05,0.02,0.32222
13.2,0.02,0.32454
13.35,0.02,0.32684
13.5,0.02,0.32912
13.65,0.02,0.3314
13.8,0.02,0.33365
13.95,0.02,0.3359
14.1,0.02,0.33812
14.25,0.02,0.34034
14.4,0.02,0.34254
14.55,0.02,0.34473
14.7,0.02,0.34691
14.85,0.02,0.34907
15,0.02,0.35122
0.15,0.03,0.05146
0.3,0.03,0.053556
0.45,0.03,0.046671
0.6,0.03,0.035826
0.75,0.03,0.023056
0.9,0.03,0.0093634
1.05,0.03,0.004712
1.2,0.03,0.018863
1.35,0.03,0.032912
1.5,0.03,0.046756
1.65,0.03,0.060333
1.8,0.03,0.073614
1.95,0.03,0.086582
2.1,0.03,0.099234
2.25,0.03,0.11157
2.4,0.03,0.1236
2.55,0.03,0.13534
2.7,0.03,0.14679
2.85,0.03,0.15796
3,0.03,0.16887
3.15,0.03,0.17952
3.3,0.03,0.18994
3.45,0.03,0.20012
3.6,0.03,0.21009
3.75,0.03,0.21984
3.9,0.03,0.2294
4.05,0.03,0.23876
4.2,0.03,0.24795
4.35,0.03,0.25696
4.5,0.03,0.2658
4.65,0.03,0.27448
4.8,0.03,0.28301
4.95,0.03,0.29139
5.1,0.03,0.29963
5.25,0.03,0.30774
5.4,0.03,0.31572
5.55,0.03,0.32357
5.7,0.03,0.3313
5.85,0.03,0.33892
6,0.03,0.34643
6.15,0.03,0.35382
6.3,0.03,0.36112
6.45,0.03,0.36831
6.6,0.03,0.37541
6.75,0.03,0.38242
6.9,0.03,0.38934
7.05,0.03,0.39616
7.2,0.03,0.40291
7.35,0.03,0.40957
7.5,0.03,0.41616
7.65,0.03,0.42266
7.8,0.03,0.4291
7.95,0.03,0.43546
8.1,0.03,0.44175
8.25,0.03,0.44797
8.4,0.03,0.45413
8.55,0.03,0.46022
8.7,0.03,0.46625
8.85,0.03,0.47221
9,0.03,0.47812
9.15,0.03,0.48398
9.3,0.03,0.48977
9.45,0.03,0.49551
9.6,0.03,0.5012
9.75,0.03,0.50683
9.9,0.03,0.51242
10.05,0.03,0.51795
10.2,0.03,0.52344
10.35,0.03,0.52888
10.5,0.03,0.53427
10.65,0.03,0.53962
10.8,0.03,0.54492
10.95,0.03,0.55018
11.1,0.03,0.5554
11.25,0.03,0.56058
11.4,0.03,0.56572
11.55,0.03,0.57081
11.7,0.03,0.57587
11.85,0.03,0.58089
12,0.03,0.58588
12.15,0.03,0.59083
12.3,0.03,0.59574
12.45,0.03,0.60061
12.6,0.03,0.60546
12.75,0.03,0.61027
12.9,0.03,0.61504
13.05,0.03,0.61979
13.2,0.03,0.6245
13.35,0.03,0.62918
13.5,0.03,0.63383
13.65,0.03,0.63845
13.8,0.03,0.64304
13.95,0.03,0.6476
14.1,0.03,0.65214
14.25,0.03,0.65664
14.4,0.03,0.66112
14.55,0.03,0.66557
14.7,0.03,0.66999
14.85,0.03,0.67439
15,0.03,0.67877
0.15,0.04,0.059451
0.3,0.04,0.063675
0.45,0.04,0.057162
0.6,0.04,0.045067
0.75,0.04,0.029697
0.9,0.04,0.012314
1.05,0.04,0.0063128
1.2,0.04,0.025692
1.35,0.04,0.045495
1.5,0.04,0.065498
1.65,0.04,0.085545
1.8,0.04,0.10553
1.95,0.04,0.12537
2.1,0.04,0.14501
2.25,0.04,0.16443
2.4,0.04,0.18359
2.55,0.04,0.20247
2.7,0.04,0.22108
2.85,0.04,0.2394
3,0.04,0.25742
3.15,0.04,0.27516
3.3,0.04,0.29262
3.45,0.04,0.30979
3.6,0.04,0.32669
3.75,0.04,0.34332
3.9,0.04,0.35969
4.05,0.04,0.3758
4.2,0.04,0.39167
4.35,0.04,0.40729
4.5,0.04,0.42267
4.65,0.04,0.43783
4.8,0.04,0.45276
4.95,0.04,0.46748
5.1,0.04,0.48199
5.25,0.04,0.4963
5.4,0.04,0.51041
5.55,0.04,0.52433
5.7,0.04,0.53806
5.85,0.04,0.55162
6,0.04,0.565
6.15,0.04,0.57821
6.3,0.04,0.59126
6.45,0.04,0.60415
6.6,0.04,0.61688
6.75,0.04,0.62947
6.9,0.04,0.6419
7.05,0.04,0.6542
7.2,0.04,0.66635
7.35,0.04,0.67837
7.5,0.04,0.69026
7.65,0.04,0.70203
7.8,0.04,0.71366
7.95,0.04,0.72518
8.1,0.04,0.73658
8.25,0.04,0.74786
8.4,0.04,0.75903
8.55,0.04,0.77009
8.7,0.04,0.78105
8.85,0.04,0.7919
9,0.04,0.80265
9.15,0.04,0.8133
9.3,0.04,0.82385
9.45,0.04,0.83431
9.6,0.04,0.84467
9.75,0.04,0.85495
9.9,0.04,0.86513
10.05,0.04,0.87523
10.2,0.04,0.88525
10.35,0.04,0.89518
10.5,0.04,0.90503
10.65,0.04,0.9148
10.8,0.04,0.9245
10.95,0.04,0.93411
11.1,0.04,0.94366
11.25,0.04,0.95313
11.4,0.04,0.96253
11.55,0.04,0.97185
11.7,0.04,0.98111
11.85,0.04,0.99031
12,0.04,0.99943
12.15,0.04,1.0085
12.3,0.04,1.0175
12.45,0.04,1.0264
12.6,0.04,1.0353
12.75,0.04,1.0441
12.9,0.04,1.0529
13.05,0.04,1.0616
13.2,0.04,1.0702
13.35,0.04,1.0788
13.5,0.04,1.0873
13.65,0.04,1.0958
13.8,0.04,1.1042
13.95,0.04,1.1126
14.1,0.04,1.1209
14.25,0.04,1.1292
14.4,0.04,1.1374
14.55,0.04,1.1455
14.7,0.04,1.1537
14.85,0.04,1.1617
15,0.04,1.1697
0.15,0.05,0.069403
0.3,0.05,0.074539
0.45,0.05,0.067792
0.6,0.05,0.054234
0.75,0.05,0.036253
0.9,0.05,0.015239
1.05,0.05,0.007912
1.2,0.05,0.032584
1.35,0.05,0.058336
1.5,0.05,0.084847
1.65,0.05,0.11187
1.8,0.05,0.13923
1.95,0.05,0.16678
2.1,0.05,0.19442
2.25,0.05,0.22205
2.4,0.05,0.24961
2.55,0.05,0.27705
2.7,0.05,0.30432
2.85,0.05,0.33141
3,0.05,0.35828
3.15,0.05,0.38491
3.3,0.05,0.4113
3.45,0.05,0.43742
3.6,0.05,0.46328
3.75,0.05,0.48887
3.9,0.05,0.51418
4.05,0.05,0.53922
4.2,0.05,0.56398
4.35,0.05,0.58847
4.5,0.05,0.61269
4.65,0.05,0.63664
4.8,0.05,0.66032
4.95,0.05,0.68373
5.1,0.05,0.70689
5.25,0.05,0.7298
5.4,0.05,0.75245
5.55,0.05,0.77486
5.7,0.05,0.79702
5.85,0.05,0.81895
6,0.05,0.84064
6.15,0.05,0.86211
6.3,0.05,0.88336
6.45,0.05,0.90438
6.6,0.05,0.92519
6.75,0.05,0.94579
6.9,0.05,0.96619
7.05,0.05,0.98638
7.2,0.05,1.0064
7.35,0.05,1.0262
7.5,0.05,1.0458
7.65,0.05,1.0652
7.8,0.05,1.0845
7.95,0.05,1.1035
8.1,0.05,1.1224
8.25,0.05,1.1412
8.4,0.05,1.1597
8.55,0.05,1.1781
8.7,0.05,1.1964
8.85,0.05,1.2144
9,0.05,1.2324
9.15,0.05,1.2501
9.3,0.05,1.2678
9.45,0.05,1.2853
9.6,0.05,1.3026
9.75,0.05,1.3198
9.9,0.05,1.3369
10.05,0.05,1.3538
10.2,0.05,1.3706
10.35,0.05,1.3873
10.5,0.05,1.4038
10.65,0.05,1.4202
10.8,0.05,1.4365
10.95,0.05,1.4527
11.1,0.05,1.4688
11.25,0.05,1.4847
11.4,0.05,1.5006
11.55,0.05,1.5163
11.7,0.05,1.5319
11.85,0.05,1.5474
12,0.05,1.5628
12.15,0.05,1.5781
12.3,0.05,1.5933
12.45,0.05,1.6084
12.6,0.05,1.6234
12.75,0.05,1.6383
12.9,0.05,1.6531
13.05,0.05,1.6678
13.2,0.05,1.6824
13.35,0.05,1.6969
13.5,0.05,1.7114
13.65,0.05,1.7257
13.8,0.05,1.74
13.95,0.05,1.7542
14.1,0.05,1.7682
14.25,0.05,1.7823
14.4,0.05,1.7962
14.55,0.05,1.81
14.7,0.05,1.8238
14.85,0.05,1.8375
15,0.05,1.8511
0.15,0.06,0.081909
0.3,0.06,0.086985
0.45,0.06,0.07923
0.6,0.06,0.063731
0.75,0.06,0.042895
0.9,0.06,0.018164
1.05,0.06,0.0095005
1.2,0.06,0.03941
1.35,0.06,0.071055
1.5,0.06,0.10405
1.65,0.06,0.13808
1.8,0.06,0.17291
1.95,0.06,0.20834
2.1,0.06,0.24422
2.25,0.06,0.28042
2.4,0.06,0.31684
2.55,0.06,0.35338
2.7,0.06,0.38997
2.85,0.06,0.42656
3,0.06,0.4631
3.15,0.06,0.49953
3.3,0.06,0.53584
3.45,0.06,0.57199
3.6,0.06,0.60795
3.75,0.06,0.64372
3.9,0.06,0.67926
4.05,0.06,0.71457
4.2,0.06,0.74964
4.35,0.06,0.78446
4.5,0.06,0.81902
4.65,0.06,0.85332
4.8,0.06,0.88736
4.95,0.06,0.92112
5.1,0.06,0.95462
5.25,0.06,0.98785
5.4,0.06,1.0208
5.55,0.06,1.0535
5.7,0.06,1.0859
5.85,0.06,1.118
6,0.06,1.1499
6.15,0.06,1.1815
6.3,0.06,1.2129
6.45,0.06,1.244
6.6,0.06,1.2748
6.75,0.06,1.3054
6.9,0.06,1.3358
7.05,0.06,1.3658
7.2,0.06,1.3957
7.35,0.06,1.4253
7.5,0.06,1.4547
7.65,0.06,1.4838
7.8,0.06,1.5127
7.95,0.06,1.5414
8.1,0.06,1.5698
8.25,0.06,1.5981
8.4,0.06,1.6261
8.55,0.06,1.6539
8.7,0.06,1.6815
8.85,0.06,1.7089
9,0.06,1.7361
9.15,0.06,1.763
9.3,0.06,1.7898
9.45,0.06,1.8164
9.6,0.06,1.8428
9.75,0.06,1.869
9.9,0.06,1.8951
10.05,0.06,1.9209
10.2,0.06,1.9466
10.35,0.06,1.972
10.5,0.06,1.9974
10.65,0.06,2.0225
10.8,0.06,2.0475
10.95,0.06,2.0723
11.1,0.06,2.0969
11.25,0.06,2.1214
11.4,0.06,2.1457
11.55,0.06,2.1699
11.7,0.06,2.1939
11.85,0.06,2.2177
12,0.06,2.2414
12.15,0.06,2.265
12.3,0.06,2.2884
12.45,0.06,2.3117
12.6,0.06,2.3348
12.75,0.06,2.3578
12.9,0.06,2.3807
13.05,0.06,2.4034
13.2,0.06,2.426
13.35,0.06,2.4484
13.5,0.06,2.4707
13.65,0.06,2.4929
13.8,0.06,2.515
13.95,0.06,2.537
14.1,0.06,2.5588
14.25,0.06,2.5805
14.4,0.06,2.6021
14.55,0.06,2.6235
14.7,0.06,2.6449
14.85,0.06,2.6661
15,0.06,2.6873
0.15,0.07,0.096231
0.3,0.07,0.1011
0.45,0.07,0.091705
0.6,0.07,0.073739
0.75,0.07,0.049708
0.9,0.07,0.021103
1.05,0.07,0.011072
1.2,0.07,0.046086
1.35,0.07,0.083386
1.5,0.07,0.12254
1.65,0.07,0.1632
1.8,0.07,0.20508
1.95,0.07,0.24796
2.1,0.07,0.29165
2.25,0.07,0.33597
2.4,0.07,0.3808
2.55,0.07,0.42602
2.7,0.07,0.47153
2.85,0.07,0.51725
3,0.07,0.56311
3.15,0.07,0.60905
3.3,0.07,0.65501
3.45,0.07,0.70094
3.6,0.07,0.74682
3.75,0.07,0.7926
3.9,0.07,0.83826
4.05,0.07,0.88377
4.2,0.07,0.92912
4.35,0.07,0.97427
4.5,0.07,1.0192
4.65,0.07,1.064
4.8,0.07,1.1085
4.95,0.07,1.1527
5.1,0.07,1.1967
5.25,0.07,1.2405
5.4,0.07,1.284
5.55,0.07,1.3273
5.7,0.07,1.3702
5.85,0.07,1.413
6,0.07,1.4554
6.15,0.07,1.4976
6.3,0.07,1.5395
6.45,0.07,1.5811
6.6,0.07,1.6224
6.75,0.07,1.6635
6.9,0.07,1.7043
7.05,0.07,1.7449
7.2,0.07,1.7851
7.35,0.07,1.8251
7.5,0.07,1.8649
7.65,0.07,1.9043
7.8,0.07,1.9435
7.95,0.07,1.9825
8.1,0.07,2.0212
8.25,0.07,2.0596
8.4,0.07,2.0978
8.55,0.07,2.1357
8.7,0.07,2.1734
8.85,0.07,2.2109
9,0.07,2.2481
9.15,0.07,2.2851
9.3,0.07,2.3218
9.45,0.07,2.3583
9.6,0.07,2.3946
9.75,0.07,2.4306
9.9,0.07,2.4664
10.05,0.07,2.502
10.2,0.07,2.5374
10.35,0.07,2.5725
10.5,0.07,2.6075
10.65,0.07,2.6422
10.8,0.07,2.6767
10.95,0.07,2.7111
11.1,0.07,2.7452
11.25,0.07,2.7791
11.4,0.07,2.8128
11.55,0.07,2.8463
11.7,0.07,2.8796
11.85,0.07,2.9128
12,0.07,2.9457
12.15,0.07,2.9785
12.3,0.07,3.0111
12.45,0.07,3.0434
12.6,0.07,3.0757
12.75,0.07,3.1077
12.9,0.07,3.1396
13.05,0.07,3.1712
13.2,0.07,3.2028
13.35,0.07,3.2341
13.5,0.07,3.2653
13.65,0.07,3.2963
13.8,0.07,3.3272
13.95,0.07,3.3579
14.1,0.07,3.3884
14.25,0.07,3.4188
14.4,0.07,3.449
14.55,0.07,3.4791
14.7,0.07,3.509
14.85,0.07,3.5388
15,0.07,3.5684
0.15,0.08,0.11075
0.3,0.08,0.11623
0.45,0.08,0.10501
0.6,0.08,0.084209
0.75,0.08,0.056689
0.9,0.08,0.024056
1.05,0.08,0.012624
1.2,0.08,0.052579
1.35,0.08,0.095221
1.5,0.08,0.14009
1.65,0.08,0.1868
1.8,0.08,0.23506
1.95,0.08,0.2846
2.1,0.08,0.33521
2.25,0.08,0.38671
2.4,0.08,0.43894
2.55,0.08,0.49177
2.7,0.08,0.54508
2.85,0.08,0.59877
3,0.08,0.65275
3.15,0.08,0.70696
3.3,0.08,0.76132
3.45,0.08,0.81577
3.6,0.08,0.87027
3.75,0.08,0.92478
3.9,0.08,0.97924
4.05,0.08,1.0336
4.2,0.08,1.0879
4.35,0.08,1.1421
4.5,0.08,1.1961
4.65,0.08,1.25
4.8,0.08,1.3036
4.95,0.08,1.3571
5.1,0.08,1.4104
5.25,0.08,1.4634
5.4,0.08,1.5162
5.55,0.08,1.5687
5.7,0.08,1.621
5.85,0.08,1.6731
6,0.08,1.7249
6.15,0.08,1.7764
6.3,0.08,1.8276
6.45,0.08,1.8786
6.6,0.08,1.9293
6.75,0.08,1.9797
6.9,0.08,2.0298
7.05,0.08,2.0797
7.2,0.08,2.1293
7.35,0.08,2.1786
7.5,0.08,2.2276
7.65,0.08,2.2763
7.8,0.08,2.3248
7.95,0.08,2.373
8.1,0.08,2.4209
8.25,0.08,2.4686
8.4,0.08,2.5159
8.55,0.08,2.563
8.7,0.08,2.6099
8.85,0.08,2.6564
9,0.08,2.7028
9.15,0.08,2.7488
9.3,0.08,2.7946
9.45,0.08,2.8401
9.6,0.08,2.8854
9.75,0.08,2.9304
9.9,0.08,2.9752
10.05,0.08,3.0197
10.2,0.08,3.064
10.35,0.08,3.108
10.5,0.08,3.1518
10.65,0.08,3.1953
10.8,0.08,3.2386
10.95,0.08,3.2817
11.1,0.08,3.3246
11.25,0.08,3.3672
11.4,0.08,3.4096
11.55,0.08,3.4518
11.7,0.08,3.4937
11.85,0.08,3.5354
12,0.08,3.577
12.15,0.08,3.6183
12.3,0.08,3.6593
12.45,0.08,3.7002
12.6,0.08,3.7409
12.75,0.08,3.7814
12.9,0.08,3.8216
13.05,0.08,3.8617
13.2,0.08,3.9015
13.35,0.08,3.9412
13.5,0.08,3.9807
13.65,0.08,4.02
13.8,0.08,4.0591
13.95,0.08,4.098
14.1,0.08,4.1367
14.25,0.08,4.1752
14.4,0.08,4.2135
14.55,0.08,4.2517
14.7,0.08,4.2897
14.85,0.08,4.3275
15,0.08,4.3652
0.15,0.09,0.12417
0.3,0.09,0.13141
0.45,0.09,0.11863
0.6,0.09,0.094927
0.75,0.09,0.063768
0.9,0.09,0.027012
1.05,0.09,0.014156
1.2,0.09,0.0589
1.35,0.09,0.10659
1.5,0.09,0.15673
1.65,0.09,0.20892
1.8,0.09,0.26284
1.95,0.09,0.31821
2.1,0.09,0.3748
2.25,0.09,0.43241
2.4,0.09,0.49088
2.55,0.09,0.55006
2.7,0.09,0.60983
2.85,0.09,0.67007
3,0.09,0.73069
3.15,0.09,0.79161
3.3,0.09,0.85274
3.45,0.09,0.91404
3.6,0.09,0.97544
3.75,0.09,1.0369
3.9,0.09,1.0984
4.05,0.09,1.1598
4.2,0.09,1.2212
4.35,0.09,1.2824
4.5,0.09,1.3436
4.65,0.09,1.4046
4.8,0.09,1.4655
4.95,0.09,1.5261
5.1,0.09,1.5866
5.25,0.09,1.6468
5.4,0.09,1.7069
5.55,0.09,1.7667
5.7,0.09,1.8262
5.85,0.09,1.8855
6,0.09,1.9445
6.15,0.09,2.0033
6.3,0.09,2.0618
6.45,0.09,2.1201
6.6,0.09,2.178
6.75,0.09,2.2357
6.9,0.09,2.2931
7.05,0.09,2.3502
7.2,0.09,2.407
7.35,0.09,2.4635
7.5,0.09,2.5198
7.65,0.09,2.5757
7.8,0.09,2.6314
7.95,0.09,2.6868
8.1,0.09,2.7419
8.25,0.09,2.7967
8.4,0.09,2.8512
8.55,0.09,2.9054
8.7,0.09,2.9594
8.85,0.09,3.0131
9,0.09,3.0665
9.15,0.09,3.1196
9.3,0.09,3.1725
9.45,0.09,3.225
9.6,0.09,3.2774
9.75,0.09,3.3294
9.9,0.09,3.3812
10.05,0.09,3.4327
10.2,0.09,3.4839
10.35,0.09,3.5349
10.5,0.09,3.5857
10.65,0.09,3.6361
10.8,0.09,3.6864
10.95,0.09,3.7363
11.1,0.09,3.7861
11.25,0.09,3.8355
11.4,0.09,3.8848
11.55,0.09,3.9338
11.7,0.09,3.9825
11.85,0.09,4.031
12,0.09,4.0793
12.15,0.09,4.1274
12.3,0.09,4.1752
12.45,0.09,4.2228
12.6,0.09,4.2702
12.75,0.09,4.3173
12.9,0.09,4.3642
13.05,0.09,4.411
13.2,0.09,4.4574
13.35,0.09,4.5037
13.5,0.09,4.5498
13.65,0.09,4.5957
13.8,0.09,4.6413
13.95,0.09,4.6867
14.1,0.09,4.732
14.25,0.09,4.777
14.4,0.09,4.8219
14.55,0.09,4.8665
14.7,0.09,4.911
14.85,0.09,4.9552
15,0.09,4.9993
0.15,0.1,0.13622
0.3,0.1,0.14591
0.45,0.1,0.13206
0.6,0.1,0.10562
0.75,0.1,0.070846
0.9,0.1,0.029956
1.05,0.1,0.015671
1.2,0.1,0.065089
1.35,0.1,0.11761
1.5,0.1,0.17269
1.65,0.1,0.2299
1.8,0.1,0.28891
1.95,0.1,0.34942
2.1,0.1,0.41118
2.25,0.1,0.47401
2.4,0.1,0.53771
2.55,0.1,0.60215
2.7,0.1,0.66718
2.85,0.1,0.7327
3,0.1,0.7986
3.15,0.1,0.86481
3.3,0.1,0.93124
3.45,0.1,0.99783
3.6,0.1,1.0645
3.75,0.1,1.1313
3.9,0.1,1.198
4.05,0.1,1.2647
4.2,0.1,1.3314
4.35,0.1,1.3979
4.5,0.1,1.4643
4.65,0.1,1.5306
4.8,0.1,1.5967
4.95,0.1,1.6626
5.1,0.1,1.7283
5.25,0.1,1.7937
5.4,0.1,1.859
5.55,0.1,1.924
5.7,0.1,1.9887
5.85,0.1,2.0532
6,0.1,2.1174
6.15,0.1,2.1813
6.3,0.1,2.2449
6.45,0.1,2.3083
6.6,0.1,2.3713
6.75,0.1,2.4341
6.9,0.1,2.4966
7.05,0.1,2.5588
7.2,0.1,2.6206
7.35,0.1,2.6822
7.5,0.1,2.7435
7.65,0.1,2.8045
7.8,0.1,2.8652
7.95,0.1,2.9256
8.1,0.1,2.9856
8.25,0.1,3.0454
8.4,0.1,3.1049
8.55,0.1,3.1641
8.7,0.1,3.223
8.85,0.1,3.2816
9,0.1,3.34
9.15,0.1,3.398
9.3,0.1,3.4558
9.45,0.1,3.5132
9.6,0.1,3.5704
9.75,0.1,3.6273
9.9,0.1,3.6839
10.05,0.1,3.7403
10.2,0.1,3.7964
10.35,0.1,3.8522
10.5,0.1,3.9077
10.65,0.1,3.963
10.8,0.1,4.018
10.95,0.1,4.0727
11.1,0.1,4.1272
11.25,0.1,4.1814
11.4,0.1,4.2354
11.55,0.1,4.2891
11.7,0.1,4.3426
11.85,0.1,4.3958
12,0.1,4.4488
12.15,0.1,4.5015
12.3,0.1,4.554
12.45,0.1,4.6063
12.6,0.1,4.6583
12.75,0.1,4.7101
12.9,0.1,4.7616
13.05,0.1,4.813
13.2,0.1,4.8641
13.35,0.1,4.9149
13.5,0.1,4.9656
13.65,0.1,5.016
13.8,0.1,5.0663
13.95,0.1,5.1163
14.1,0.1,5.166
14.25,0.1,5.2156
14.4,0.1,5.265
14.55,0.1,5.3142
14.7,0.1,5.3631
14.85,0.1,5.4119
15,0.1,5.4604
0.15,0.11,0.14738
0.3,0.11,0.15953
0.45,0.11,0.145
0.6,0.11,0.1161
0.75,0.11,0.077835
0.9,0.11,0.032871
1.05,0.11,0.017168
1.2,0.11,0.071189
1.35,0.11,0.1284
1.5,0.11,0.18822
1.65,0.11,0.25017
1.8,0.11,0.31389
1.95,0.11,0.37908
2.1,0.11,0.44547
2.25,0.11,0.51287
2.4,0.11,0.58109
2.55,0.11,0.64998
2.7,0.11,0.7194
2.85,0.11,0.78926
3,0.11,0.85944
3.15,0.11,0.92986
3.3,0.11,1.0005
3.45,0.11,1.0712
3.6,0.11,1.1419
3.75,0.11,1.2127
3.9,0.11,1.2834
4.05,0.11,1.354
4.2,0.11,1.4245
4.35,0.11,1.4949
4.5,0.11,1.5651
4.65,0.11,1.6351
4.8,0.11,1.7049
4.95,0.11,1.7744
5.1,0.11,1.8438
5.25,0.11,1.9128
5.4,0.11,1.9816
5.55,0.11,2.0502
5.7,0.11,2.1184
5.85,0.11,2.1864
6,0.11,2.254
6.15,0.11,2.3214
6.3,0.11,2.3884
6.45,0.11,2.4552
6.6,0.11,2.5216
6.75,0.11,2.5877
6.9,0.11,2.6535
7.05,0.11,2.719
7.2,0.11,2.7841
7.35,0.11,2.849
7.5,0.11,2.9135
7.65,0.11,2.9777
7.8,0.11,3.0416
7.95,0.11,3.1052
8.1,0.11,3.1685
8.25,0.11,3.2314
8.4,0.11,3.2941
8.55,0.11,3.3564
8.7,0.11,3.4184
8.85,0.11,3.4801
9,0.11,3.5415
9.15,0.11,3.6027
9.3,0.11,3.6635
9.45,0.11,3.724
9.6,0.11,3.7842
9.75,0.11,3.8441
9.9,0.11,3.9038
10.05,0.11,3.9631
10.2,0.11,4.0222
10.35,0.11,4.081
10.5,0.11,4.1395
10.65,0.11,4.1978
10.8,0.11,4.2557
10.95,0.11,4.3134
11.1,0.11,4.3708
11.25,0.11,4.428
11.4,0.11,4.4849
11.55,0.11,4.5415
11.7,0.11,4.5979
11.85,0.11,4.654
12,0.11,4.7099
12.15,0.11,4.7655
12.3,0.11,4.8209
12.45,0.11,4.876
12.6,0.11,4.9309
12.75,0.11,4.9855
12.9,0.11,5.0399
13.05,0.11,5.0941
